game_id,away_team_id,home_team_id,away_team_rest,home_team_rest
21800325,Atlanta,Oklahoma City,3IN4,1
21800326,Houston,San Antonio,1,1
21800327,Orlando,Phoenix,1,3IN4
21800328,Dallas,LA Lakers,1,3IN4-B2B
21800329,Denver,Portland,2,1
21800330,Milwaukee,New York,2,2
21800331,Golden State,Detroit,1,B2B
21800332,Toronto,Cleveland,1,3IN4-B2B
21800333,Brooklyn,Washington,3IN4-B2B,3IN4-B2B
21800334,Chicago,Houston,3IN4-B2B,3IN4-B2B
21800335,Boston,Minnesota,B2B,2
21800336,Indiana,Sacramento,1,1
21800337,Phoenix,LA Lakers,1,3IN4
21800338,New Orleans,Charlotte,1,1
21800339,Utah,Miami,1,1
21800340,Memphis,Philadelphia,1,1
21800341,LA Clippers,Dallas,2,1
21800342,Portland,San Antonio,1,1
21800343,Oklahoma City,Detroit,2,3IN4
21800344,Golden State,Atlanta,1,2
21800345,Cleveland,Brooklyn,3IN4,3IN4
21800346,Washington,New York,3IN4,1
21800347,Denver,Toronto,2,1
21800348,Houston,Minnesota,3IN4,1
21800349,LA Clippers,New Orleans,B2B,3IN4-B2B
21800350,Chicago,Indiana,2,2
21800351,Orlando,Miami,3+,1
21800352,Portland,Dallas,1,1
21800353,Sacramento,Phoenix,2,1
21800354,San Antonio,Utah,1,1
21800355,Golden State,Cleveland,1,1
21800356,Denver,Orlando,1,B2B
21800357,Washington,Atlanta,1,1
21800358,Oklahoma City,Brooklyn,1,1
21800359,Philadelphia,Toronto,2,1
21800360,LA Clippers,Memphis,3IN4,2
21800361,Detroit,Milwaukee,1,3+
21800362,Charlotte,Minnesota,2,1
21800363,Dallas,New Orleans,3IN4-B2B,3IN4
21800364,San Antonio,LA Lakers,3IN4-B2B,2
21800365,New York,Boston,2,3+
21800366,Phoenix,Portland,1,1
21800367,Houston,Utah,2,1
21800368,Denver,Charlotte,1,1
21800369,Philadelphia,Detroit,1,1
21800370,Indiana,Orlando,2,3IN4
21800371,Toronto,Brooklyn,1,1
21800372,Sacramento,Cleveland,2,1
21800373,Oklahoma City,Chicago,1,2
21800374,Memphis,New Orleans,1,1
21800375,LA Lakers,San Antonio,1,3IN4
21800376,Miami,Phoenix,2,3IN4-B2B
21800377,Golden State,Milwaukee,1,1
21800378,Houston,Dallas,1,2
21800379,Sacramento,Indiana,B2B,B2B
21800380,Denver,Atlanta,3IN4-B2B,2
21800381,Washington,Cleveland,2,3IN4-B2B
21800382,Brooklyn,New York,3IN4-B2B,1
21800383,Boston,Chicago,1,B2B
21800384,LA Lakers,Memphis,3IN4-B2B,3IN4-B2B
