DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
NBA 2018-2019 Regular Season,0021800092,10/29/18,8:00 PM,Toronto,Milwaukee,240,109,124,2,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800093,10/29/18,8:00 PM,LA Lakers,Minnesota,240,120,124,1,2,Box Score
NBA 2018-2019 Regular Season,0021800094,10/29/18,8:30 PM,Dallas,San Antonio,265,108,113,3IN4-B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800095,10/29/18,9:00 PM,New Orleans,Denver,240,111,116,3IN4,3+,Box Score
NBA 2018-2019 Regular Season,0021800096,10/30/18,7:00 PM,Miami,Charlotte,240,113,125,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800097,10/30/18,7:00 PM,Atlanta,Cleveland,240,114,136,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800098,10/30/18,7:00 PM,Sacramento,Orlando,240,107,99,B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800099,10/30/18,7:30 PM,Detroit,Boston,240,105,108,2,2,Box Score
NBA 2018-2019 Regular Season,0021800100,10/30/18,7:30 PM,Philadelphia,Toronto,240,112,129,3IN4-B2B,B2B,Box Score
NBA 2018-2019 Regular Season,0021800101,10/30/18,8:00 PM,Portland,Houston,240,104,85,3IN4-B2B,3+,Box Score
NBA 2018-2019 Regular Season,0021800102,10/30/18,8:00 PM,Washington,Memphis,240,95,107,1,2,Box Score
NBA 2018-2019 Regular Season,0021800103,10/30/18,8:00 PM,LA Clippers,Oklahoma City,240,110,128,1,1,Box Score
NBA 2018-2019 Regular Season,0021800104,10/31/18,7:30 PM,Detroit,Brooklyn,265,119,120,B2B,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800105,10/31/18,8:00 PM,Indiana,New York,240,107,101,1,1,Box Score
NBA 2018-2019 Regular Season,0021800106,10/31/18,8:00 PM,Denver,Chicago,265,108,107,1,1,Box Score
NBA 2018-2019 Regular Season,0021800107,10/31/18,8:00 PM,Utah,Minnesota,240,125,128,2,1,Box Score
NBA 2018-2019 Regular Season,0021800108,10/31/18,10:30 PM,New Orleans,Golden State,240,121,131,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800109,10/31/18,10:30 PM,Dallas,LA Lakers,240,113,114,3IN4,1,Box Score
NBA 2018-2019 Regular Season,0021800110,10/31/18,10:30 PM,San Antonio,Phoenix,240,120,90,1,2,Box Score
NBA 2018-2019 Regular Season,0021800111,11/1/18,7:00 PM,Oklahoma City,Charlotte,240,111,107,1,1,Box Score
NBA 2018-2019 Regular Season,0021800112,11/1/18,7:00 PM,Denver,Cleveland,240,110,91,3IN4-B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800113,11/1/18,7:00 PM,LA Clippers,Philadelphia,240,113,122,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800114,11/1/18,7:30 PM,Sacramento,Atlanta,240,146,115,3IN4,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800115,11/1/18,8:00 PM,Milwaukee,Boston,240,113,117,2,1,Box Score
NBA 2018-2019 Regular Season,0021800116,11/1/18,10:30 PM,New Orleans,Portland,240,119,132,3IN4-B2B,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800117,11/2/18,7:00 PM,LA Clippers,Orlando,240,120,95,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800118,11/2/18,7:30 PM,Houston,Brooklyn,240,119,111,2,1,Box Score
NBA 2018-2019 Regular Season,0021800119,11/2/18,8:00 PM,Oklahoma City,Washington,240,134,111,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800120,11/2/18,8:00 PM,Indiana,Chicago,240,107,105,1,1,Box Score
NBA 2018-2019 Regular Season,0021800121,11/2/18,8:30 PM,New York,Dallas,240,118,106,1,1,Box Score
NBA 2018-2019 Regular Season,0021800122,11/2/18,9:00 PM,Memphis,Utah,240,110,100,2,1,Box Score
NBA 2018-2019 Regular Season,0021800123,11/2/18,10:00 PM,Toronto,Phoenix,240,107,98,2,1,Box Score
NBA 2018-2019 Regular Season,0021800124,11/2/18,10:30 PM,Minnesota,Golden State,240,99,116,1,1,Box Score
